b_id,b_url,b_tage,b_p_id
1,https://www.youtube.com/watch?v=01snsHZK6Ns&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=2,햄계란밥,1
2,https://www.youtube.com/watch?v=87zznFb0-us&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=3,빨간어묵,2
3,https://www.youtube.com/watch?v=LojVJnvLb30&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=4,버팔로윙,3
4,https://www.youtube.com/watch?v=w9ML-v8OG1Y&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=6,파무침,4
5,https://www.youtube.com/watch?v=SILoOGBiAyA&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=7,부대볶음,5
6,https://www.youtube.com/watch?v=-MvfUUPB5-Y&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=8,부대찌개,6
7,https://www.youtube.com/watch?v=Zkxiydlmplw&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=9,오징어뭇국,7
8,https://www.youtube.com/watch?v=ZuO-VnWMrno&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=10,달걀프라이,8
9,https://www.youtube.com/watch?v=YLd78Yqoy9I&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=11,꽃게해장국,9
10,https://www.youtube.com/watch?v=JrTVWvj8uhs&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=13,두부구이,10
11,https://www.youtube.com/watch?v=fpqJOFMfhmk&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=13,명란크림파스타,11
12,https://www.youtube.com/watch?v=RmZyxKOUbfs&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=14,메추리알장조림,12
13,https://www.youtube.com/watch?v=-Imo0xgUQG0&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=15,도토리묵사발,13